Regulator,Target,RegulatorEnsembleID,TargetEnsembleID,diseaseCategory,DiseaseName2,RegulationDiretion,ExpressionPattern,RegulatorType,TargetType,Target_cleaned,Regulator_cleaned,Regulator_cleaned2,Target_cleaned2
LINC00313,miR-4429,ENSG00000185186,ENSG00000264010,Cancer,Thyroid cancer,negatively-F,upregulation,lncRNA,miRNA,miR-4429,LINC00313,LINC00313,miR-4429
FAM83H-AS1,CDKN1A,ENSG00000203499,ENSG00000124762,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,CDKN1A,FAM83H-AS1,FAM83H-AS1,CDKN1A
NEAT1,TGFB1,ENSG00000245532,ENSG00000105329,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,TGFB1,NEAT1,NEAT1,TGFB1
NEAT1,ZEB1,ENSG00000245532,ENSG00000148516,Cancer,Breast cancer,positively-E,upregulation,lncRNA,TF,ZEB1,NEAT1,NEAT1,ZEB1
ZFPM2-AS1,MIF,ENSG00000251003,ENSG00000240972,Cancer,Gastric cancer,positively-F,upregulation,lncRNA,PCG,MIF,ZFPM2-AS1,ZFPM2-AS1,MIF
SNHG1,miR-448,ENSG00000255717,ENSG00000199001,Cancer,Breast cancer,positively-E,upregulation,lncRNA,miRNA,miR-448,SNHG1,SNHG1,miR-448
SNHG1,IDO1,ENSG00000255717,ENSG00000131203,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,IDO1,SNHG1,SNHG1,IDO1
LINC00222,GSK3B,ENSG00000203801,ENSG00000082701,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,GSK3B,LINC00222,LINC00222,GSK3B
TP73-AS1,CASP3,ENSG00000227372,ENSG00000164305,Cancer,Cholangiocarcinoma,positively-E,upregulation,lncRNA,PCG,CASP3,TP73-AS1,TP73-AS1,CASP3
TP73-AS1,CASP9,ENSG00000227372,ENSG00000132906,Cancer,Cholangiocarcinoma,positively-E,upregulation,lncRNA,PCG,CASP9,TP73-AS1,TP73-AS1,CASP9
PVT1,miR-133a,ENSG00000249859,ENSG00000284508,Cancer,Ovarian cancer,negatively-F,upregulation,lncRNA,miRNA,miR-133a,PVT1,PVT1,miR-133a
